List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
395,AYU0445,Uttar Pradesh,"SKS Ayurvedic Medical College & Hospital , NH-2, Village- Chaumuhan,
Distt- Chhata Mathura-281406, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Revised Conditional Permission with Warning (UG - 100 seats without EWS)
396,AYU0446,Gujarat,"K.J. Institute of Ayurveda & Research,
K.J. Campus, Opp. I.T.I., Javla- Salvi,
P.O.Savli-391770, Distt.- Vadodara, Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
397,AYU0448,Uttar Pradesh,"APEX Institute of Ayurvedic Medicine & Hospital,
Nh-7, Mirzapur-Varanasi Road, Samaspur,
Chunar, Mirzapur-231304, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
398,AYU0453,Uttar Pradesh,"Ankerite Ayurvedic Medical College & Hospital, Village Sauseer Khera, Parwer purab, Post-Mohanlalganj, Lucknow- 226301, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
399,AYU0456,Uttar Pradesh,"Doon Ayurvedic Medical College & Hospital, VPO Sunderpur Tanko, Tehsil-Behat, Distt- Saharanpur-247662, Uttar Pradesh",Private,"Grant  of  Revised  Conditional  Permission  with  intake capacity  of  54  seats  [instead  of  60  seats]  in  UG (BAMS)   course   for   the   academic   session   2024-25 under  section  28  of  NCISM  Act,  2020  and  relevant regulations  thereunder  with  respect  to  appeal  dated 12.09.2024",54,0,0,0,0,0,Revised Conditional Permission with seat reduction  after Ist Appeal (UG - 54 seats without EWS)
400,AYU0458,Uttar Pradesh,"Chandra Shekhar Singh Ayurvedic Sansthan, Village- Koilaha, Post-Saiyad Saraya, Distt. Kaushambi-212213, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  Course  under  section  28  of  NCISM  Act,  2020 and  Ist  Renewal  of  Permission  for  15  seats  in  03 PG  courses  in  the  subjects  namely  i)  Prasuti  &  Stri Raga  -  05  seats,  ii)  Shalyatantra  -  05  seats  and  iii) Raga  Nidana  avum  Vikriti  Vigyana  -  05  seats  under section  29  of  NCISM  Act,  2020  for  the  academic session 2024-25",60,15,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) & Ist Renewal of Permission 15 seats without EWS
401,AYU0460,Uttar Pradesh,"SCPM Ayurvedic Medical College & Hospital,
Lucknow Road, Haripur Gonda- 271003,
Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course,  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
402,AYU0468,Chhattisgarh,"Mahaveer College of Ayurvedic Science, Vill-Sundra, G.E. Road, Rajnandgaon-491441, Chhattisgarh",Private,"Grant  of  Conditional  Permjssion  with  60  seats  in  UG (BAMS)  under  section 28  of NCISM  Act,  2020  for the academic session 2024-25 and Letter of Permission to start 04 new PG Courses with 16 seats (instead of 05  new  PG  courses  wth  20  seats)  in  the  subjects namely (i) Roga Nidan Evam Vikriti Vigyana- 04 seats
(ii)  Kaumarbhritya  -  Balaroga-  04  seats  (iii)  Prasuti Tantra evam Striroga- 04 seats (iv) Shalya Tantra- 04 seats and Denial of Letter of Permission to start 01 new  PG  Course  with  04  seats  in  the  subject  namely Ayurveda  Samhita  and  Siddhanta  from  the  academic session 2024-25 under section 29 of NCISM Act, 2020",60,16,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) & Letter of Permission 04 new PG course with 16 seats & Denial of Permission in 01 new PG course
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
403,AYU0470,Gujarat,"Noble Ayurved College & Research Institute, Parthvatika, Bhesan Road, Via- Vadal, At. Bamangam, Distt.
Junagadh-362310, Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 and 1st renewal of permission with 60 seats to 100 seats in UG (BAMS) course, under section 29 of NCISM Act, 2020 from the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) & Ist Renewal of Permission (60 to 100 seats without EWS)
404,AYU0474,Gujarat,"Ananya College of Ayurveda, Umiya Mata Kadva Patidar Education & Samaj Seva Trust, A-Block KIRC Campus, Ahmedabad-Mahesana Highway, Kalol, Distt.
Gandhinagar-382721,
Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
405,AYU0477,Karnataka,"Sri Paripoorna Sanathana Ayurveda Medical College, Hospital And Research Centre, At No. 91, Kaivalya Sannidana, Arjunabettahalli, Gollahalli Post, Nelamangala Taluk, Bengaluru, Karnataka",Private,"Grant of Conditional Permission with reduction in intake capacity with intake capacity of 54 seats [instead of 60 seats]  in  UG  (BAMS)  course,  under  section  28  of  the NCISM Act, 2020 for the academic session 2024-25",54,0,0,0,0,0,Conditional Permission with seat reduction (UG - 54 seats without EWS)
406,AYU0479,Karnataka,"Karavali Ayurvedic Medical College Hospital & Research Centre, Neeramarga, Mangalore-575029, Karnataka",Private,"Grant of Conditional Permission with intake capacity of
30  seats  (instead  of  60  seats)  in  UG  (BAMS)  course under section 28 of NCISM Act, 2020 for the academic session 2024-25.",30,0,0,0,0,0,Conditional Permission with seat reduction in UG ( UG - 30 seats without EWS)
407,AYU0480,Karnataka,"H.K.D.E.T'S Rajarajeshwari Ayurvedic Medical College & Hospital, NH-9, Veerbhadragiri, Sindenkera Cross, Humnabad- 585330,
Distt.-Bidar, Karnataka",Private,"Grant of Conditional Permission with intake capacity of 100 seats and 04 PG courses with 24 seats in subject namely (i) Ayurved Samhita, Sanskrit & Siddhanta-06 seats (ii) Kayachikitsa- 06 seats (iii) Shalya Tantra-06 seats  (iv)  Prasuti  &  Stri  Roga  -  06  seats  for  the academic session 2024-25 under section 28 of NCISM Act, 2020",100,24,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 24
seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
408,AYU0481,Karnataka,"Karnataka State Government Daily Wages Employee's Federation, Sanjeevini Ayurveda Medical College and Hospital, Dr. K.S. Sharma Campus, Vishwashrama Chetana, Basaveshwara Nagar, Gokul Road,
Hubballi-580030, Karnataka",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  Course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
409,AYU0482,Karnataka,"Shree Beereshwar Shikshan Sanstha,
Krishna Ayurvedic Medical College & Hospital,
Behind Syrian Hospital, Old PB Road, At/Post:Sankeshwar- 591313, Tq: Hukkeri,
Distt., Belgaum, Karnataka",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  and 1st  Renewal  of  permission  for  increase  in  intake capacity  in  UG  (BAMS)  course  from  60  to  100  seats under section of 29 NCISM act 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) & Ist Renewal of Permission (60 to 100 seats without EWS)
410,AYU0485,Madhya Pradesh,"Sam College of Ayurvedic Sciences & Hospital,
Village-Agariya Chopra, Block- Saanchi,
Tehsil, Raisen- 464551, Madhya Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
411,AYU0492,Madhya Pradesh,"Sri Sai Institute of Ayurvedic Research & Medicine, Village- Hinituia Alam, Ward No.84, Rani Awanti Bai Marg, Kolar Road,
Bhopal-462042, Madhya Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
412,AYU0498,Uttar Pradesh,"Shri Satya Ayurvedic Medical College & Hospital, Dhanupura (Lodhipur Rajput) Delhi Road, Po Pakbara, Moradabad- 244102,
Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course,  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
413,AYU0500,Uttar Pradesh,"Ishan Ayurved Medical College & Research Centre, Plot No.1A/1 & 1A/2, Knowledge Park-1, Greater Noida-201310, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 and 1st Renewal of Permission with 60 to 100 seats in UG (BAMS) course under section  29 of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) & Ist Renewal of Permission (60 to 100 seats without EWS)
414,AYU0502,Uttar Pradesh,"ITM Ayurvedic Medical College, Village Jungal Dudhal URF Chehari, Tappa Kathara, Pharenda-Haveli, Post-Chehari, Maharajganj-273303, Uttar",Private,"Grant of 3rd Renewal of Permission with 100 seats in UG  (BAMS)  course  under  section  28  of  NCISM  Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,3rd Renewal of Permission (UG - 100 seats without EWS)
415,AYU0506,Uttar Pradesh,"Bhagwant Ayurvedic College & Hospital, Bhagwantpuram, 17Th Mile Stone, Bijnor-Delhi Highway, Vill- Kailapur Jasmor, Tehsil- Jansath Distt.
Muzaffarnagar-251315, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of 36 seats [instead of 60 seats] in UG (BAMS) course
for the academic session 2024-25 under section 28 of NCISM Act, 2020",36,0,0,0,0,0,Conditional Permission with seat reduction (UG - 36 seats without EWS)
416,AYU0508,Uttar Pradesh,"Bhartiya Ayurvedic Medical College,
At Village-Kudena, Gajraula J.P. Nagar,
Amroha-244235, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
417,AYU0509,Uttar Pradesh,"M.D. Ayurvedic College & Hospital,
Babarpur, Sikandra,
Agra-287007, Uttar Pradesh",Private,Grant of Conditional Permission with intake capacity of 36 seats (instead of 60 seats) in UG (BAMS) course for the  academic  session  2024-25  under  section  28  of NCISM Act 2020,36,0,0,0,0,0,Conditional Permission with seat reduction   (UG - 36 seats without EWS)
418,AYU0512,Uttar Pradesh,"Sardar Patel Institute of Ayurvedic Medical Science & Research Centre, Kankaha, Raibarely Road, Mohan Lal Ganj,
Lucknow-226301, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
419,AYU0518,Uttarakhand,"Dev Bhoomi Medical College of Ayurveda & Hospital, Navgaon Manduwala,
Dehradun-248007, Uttarakhand",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
420,AYU0528,Uttar Pradesh,"Charak Ayurvedic Medical College, Hospital and Research Centre, VPO - Panchi, Hapur - Meerut Road, Distt. Meerut- 245206, Uttar Pradesh",Private,"Grant of 3rd Renewal of Permission with 60 seats in UG (BAMS)   course   for   the   academic   session   2024-25 under section 29 of NCISM Act, 2020",60,0,0,0,0,0,3rd Renewal of Permission (UG - 60 seats without EWS)
421,AYU0533,Gujarat,"Gokul Ayurvedic College, Gokul Foundation, Opp. I.O.C. Depot, State Highway No. 41, Sujanpur, Patia, Sidhpur- 384151, Distt. Patan, Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
422,AYU0541,Gujarat,"Krishna Ayurved Medical College Bits Edu Capmpus Vadodara- Mumbai NH 8, Varnama, Vadodara-391240, Gujarat",Private,"Grant of Conditional Permission with intake capacity of 48 seats [instead of 60 seats] in UG (BAMS) course for the  academic  session  2024-25  under  section  28  of NCISM Act, 2020",48,0,0,0,0,0,Conditional Permission with Seat Reduction (UG- 48 seats without EWS)
423,AYU0545,Uttar Pradesh,"Rama Ayurvedic Medical College & Hospital, Rama City, GT Road, Near Mandhana Railway Station, Mandhana, Kanpur-209217, Uttar Pradesh",Private,"Grant of 3rd Renewal of Permission with 100 seats in UG  (BAMS)  course  for  the  academic  session  2024-25 under section 29 of NCISM Act, 2020",100,0,0,0,0,0,3rd Renewal of Permission (UG - 100 seats without EWS)
424,AYU0553,Karnataka,"Adichunchanagiri Ayurvedic Medical College, Hospital & Research Center, Survey No.- 112, Nagaruru, Dasanapura Hobli, Nelamangala, Bengaluru Karnataka",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
425,AYU0565,Gujarat,"Jay Jalaram Ayurvedic Medical College, Shivpuri, Post- Kakanpur, Ta. Godhra, Distt. Panchmahal-388713, Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
426,AYU0577,New Delhi,"All India Institute of Ayurveda, Mathura Road, Gautampuri, Sarita Vihar, Gautampuri Awas, Badarpur, New Delhi, Delhi 110076",National Institute (Government),"Grant of Conditional Permission for intake capacity with 75 seats (94 seats including EWS) in 12 PG courses in the   subject   namely   (i)   Ayurved   evam   Samhita Siddhant-05   seats   (06   seats   including   EWS)   (ii) Dravyaguna Vigyan-06 seats (08 seats including EWS)
(iii)  Kayachikitsa-10  seats  (12  seats  including  EWS) (iv)
Kaumarabhritya  -  06  seats  (08  seats  including  EWS)
(v)  Kriya  Sharir  -  06  seats  (07  seats  including  EWS)
(vi)  Panchkarma  -  06 seats  (08 seats  including EWS)
(vii)   Prasuti   evam   Stri   Rog-   06   seats   (08   seats including   EWS)   (viii)   Rasa   Shastra   &   Bhaishajya Kalpana-  05  seats  (06  seats  including  EWS)  (ix)  Rog Nidan   evam   Vikriti   Vigyan   -   06   Seats   (08   seats including EWS)
(x)  Shalakya  tantra  -  07  Seats  (08  seats  including EWS) (xi) Shalya Tantra -06 seats (08 seats including EWS)  (xii)  Swasthvritta  in  Yoga  -  06 Seats  (07 seats
including  EWS)  for  the  academic  session  2024-25,",0,75,0,0,94,0,"Conditional Permission (PG
- 75 seats without EWS & PG - 94 seats including EWS)"
427,AYU0579,Karnataka,"Rajeev Institute of Ayurvedic Medical Sciences and Research Centre, Hassan-573201, Karnataka",Private,"Grant of Conditional Permission with intake capacity of 60 seats in UG (BAMS) course for the academic session 2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
